"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clear",10000,3.19,2.04,3.19,1024,35,2.82,292,"2024-12-03 09:00:00","Winter"
"Seoul","Clear",10000,2.71,2.19,2.71,1024,43,1.13,203,"2024-12-03 12:00:00","Winter"
"Seoul","Clouds",10000,2.02,2.02,2.02,1024,65,0.47,162,"2024-12-03 15:00:00","Winter"
"Seoul","Clouds",10000,1.91,1.91,1.91,1024,73,1.76,309,"2024-12-03 18:00:00","Winter"
"Seoul","Clouds",10000,0.87,0.87,0.87,1024,35,2.73,328,"2024-12-03 21:00:00","Winter"
"Seoul","Clear",10000,0.92,0.92,0.92,1025,29,2.41,317,"2024-12-04 00:00:00","Winter"
"Seoul","Clear",10000,3.28,3.28,3.28,1024,31,3.8,301,"2024-12-04 03:00:00","Winter"
"Seoul","Clear",10000,4.29,4.29,4.29,1022,33,4.4,300,"2024-12-04 06:00:00","Winter"
"Seoul","Clear",10000,3.28,3.28,3.28,1022,42,3.12,305,"2024-12-04 09:00:00","Winter"
"Seoul","Clouds",10000,2.05,2.05,2.05,1022,40,2.18,310,"2024-12-04 12:00:00","Winter"
"Seoul","Clouds",10000,1.55,1.55,1.55,1021,44,0.23,175,"2024-12-04 15:00:00","Winter"
"Seoul","Clouds",10000,1.42,1.42,1.42,1020,47,0.34,15,"2024-12-04 18:00:00","Winter"
"Seoul","Clear",10000,1.33,1.33,1.33,1018,53,0.64,183,"2024-12-04 21:00:00","Winter"
"Seoul","Clear",10000,2.51,2.51,2.51,1018,51,0.48,223,"2024-12-05 00:00:00","Winter"
"Seoul","Clear",10000,7.01,7.01,7.01,1017,44,3.91,264,"2024-12-05 03:00:00","Winter"
"Seoul","Clouds",10000,8.26,8.26,8.26,1015,41,6.36,277,"2024-12-05 06:00:00","Winter"
"Seoul","Clouds",10000,6.3,6.3,6.3,1015,43,4.32,291,"2024-12-05 09:00:00","Winter"
"Seoul","Clouds",10000,4.9,4.9,4.9,1015,50,1.98,291,"2024-12-05 12:00:00","Winter"
"Seoul","Rain",10000,3.49,3.49,3.49,1016,69,3.07,331,"2024-12-05 15:00:00","Winter"
"Seoul","Rain",10000,2.8,2.8,2.8,1017,67,3.22,310,"2024-12-05 18:00:00","Winter"
"Seoul","Clouds",10000,1.88,1.88,1.88,1017,50,4.68,317,"2024-12-05 21:00:00","Winter"
"Seoul","Clouds",10000,0.36,0.36,0.36,1020,36,4.33,306,"2024-12-06 00:00:00","Winter"
"Seoul","Clear",10000,2.28,2.28,2.28,1020,40,5.96,292,"2024-12-06 03:00:00","Winter"
"Seoul","Clouds",10000,2.9,2.9,2.9,1019,35,6.65,303,"2024-12-06 06:00:00","Winter"
"Seoul","Clouds",10000,0.44,0.44,0.44,1022,42,5.32,317,"2024-12-06 09:00:00","Winter"
"Seoul","Clouds",10000,-1.16,-1.16,-1.16,1024,45,4.71,307,"2024-12-06 12:00:00","Winter"
"Seoul","Clear",10000,-1.45,-1.45,-1.45,1025,41,4.17,305,"2024-12-06 15:00:00","Winter"
"Seoul","Clear",10000,-1.95,-1.95,-1.95,1025,37,4.36,305,"2024-12-06 18:00:00","Winter"
"Seoul","Clear",10000,-2.5,-2.5,-2.5,1025,24,3.7,318,"2024-12-06 21:00:00","Winter"
"Seoul","Clear",10000,-2.17,-2.17,-2.17,1026,20,2.43,308,"2024-12-07 00:00:00","Winter"
"Seoul","Clear",10000,-0.08,-0.08,-0.08,1026,21,3.71,298,"2024-12-07 03:00:00","Winter"
"Seoul","Clear",10000,1.51,1.51,1.51,1025,31,4.1,298,"2024-12-07 06:00:00","Winter"
"Seoul","Clear",10000,1.14,1.14,1.14,1025,42,3.59,313,"2024-12-07 09:00:00","Winter"
"Seoul","Clear",10000,0.05,0.05,0.05,1026,53,3.39,311,"2024-12-07 12:00:00","Winter"
"Seoul","Clear",10000,-0.51,-0.51,-0.51,1026,52,2.87,305,"2024-12-07 15:00:00","Winter"
"Seoul","Clear",10000,-0.31,-0.31,-0.31,1026,42,2.74,302,"2024-12-07 18:00:00","Winter"
"Seoul","Clear",10000,-0.23,-0.23,-0.23,1026,38,2.32,303,"2024-12-07 21:00:00","Winter"
"Seoul","Clear",10000,0.43,0.43,0.43,1027,37,1.11,257,"2024-12-08 00:00:00","Winter"
"Seoul","Clear",10000,3.13,3.13,3.13,1026,34,0.98,283,"2024-12-08 03:00:00","Winter"
"Seoul","Clear",10000,5.19,5.19,5.19,1024,38,3.18,310,"2024-12-08 06:00:00","Winter"
"Washington, D.C.","Clouds",10000,-4.17,-5.44,-4.17,1034,85,1.67,244,"2024-12-03 09:00:00","Winter"
"Washington, D.C.","Clouds",10000,-4.15,-4.46,-4.15,1033,89,1.24,274,"2024-12-03 12:00:00","Winter"
"Washington, D.C.","Clouds",10000,-5.73,-5.73,-5.73,1033,93,1.33,260,"2024-12-03 15:00:00","Winter"
"Washington, D.C.","Clouds",10000,-0.47,-0.47,-0.47,1033,80,0.33,43,"2024-12-03 18:00:00","Winter"
"Washington, D.C.","Clouds",10000,2.33,2.33,2.33,1031,76,0.8,108,"2024-12-03 21:00:00","Winter"
"Washington, D.C.","Clouds",10000,-1.64,-1.64,-1.64,1032,93,0.34,255,"2024-12-04 00:00:00","Winter"
"Washington, D.C.","Clouds",10000,-3.37,-3.37,-3.37,1033,95,1.63,266,"2024-12-04 03:00:00","Winter"
"Washington, D.C.","Clouds",10000,-3.66,-3.66,-3.66,1033,94,1.55,266,"2024-12-04 06:00:00","Winter"
"Washington, D.C.","Clouds",10000,-3.81,-3.81,-3.81,1033,93,1.63,261,"2024-12-04 09:00:00","Winter"
"Washington, D.C.","Clouds",10000,-4.1,-4.1,-4.1,1033,93,1.48,265,"2024-12-04 12:00:00","Winter"
"Washington, D.C.","Clouds",10000,-4.41,-4.41,-4.41,1033,93,1.5,262,"2024-12-04 15:00:00","Winter"
"Washington, D.C.","Clear",10000,0.9,0.9,0.9,1031,77,0.4,39,"2024-12-04 18:00:00","Winter"
"Washington, D.C.","Clear",10000,3.18,3.18,3.18,1029,76,0.98,83,"2024-12-04 21:00:00","Winter"
"Washington, D.C.","Clear",10000,-1.08,-1.08,-1.08,1029,93,0.49,231,"2024-12-05 00:00:00","Winter"
"Washington, D.C.","Clear",10000,-2.92,-2.92,-2.92,1030,95,1.55,277,"2024-12-05 03:00:00","Winter"
"Washington, D.C.","Clouds",10000,-3.04,-3.04,-3.04,1030,93,1.46,277,"2024-12-05 06:00:00","Winter"
"Washington, D.C.","Clear",10000,-3.3,-3.3,-3.3,1030,93,1.55,263,"2024-12-05 09:00:00","Winter"
"Washington, D.C.","Clear",10000,-3.26,-3.26,-3.26,1030,93,1.39,270,"2024-12-05 12:00:00","Winter"
"Washington, D.C.","Clouds",10000,-3.21,-3.21,-3.21,1030,93,1.09,274,"2024-12-05 15:00:00","Winter"
"Washington, D.C.","Clouds",10000,1.62,1.62,1.62,1029,79,0.58,52,"2024-12-05 18:00:00","Winter"
"Washington, D.C.","Clouds",10000,3.42,3.42,3.42,1028,84,0.8,100,"2024-12-05 21:00:00","Winter"
"Washington, D.C.","Clouds",10000,2.75,2.75,2.75,1028,91,0.38,65,"2024-12-06 00:00:00","Winter"
"Washington, D.C.","Clouds",10000,2.76,2.76,2.76,1029,93,0.74,104,"2024-12-06 03:00:00","Winter"
"Washington, D.C.","Clouds",3401,1.13,1.13,1.13,1031,95,1.31,320,"2024-12-06 06:00:00","Winter"
"Washington, D.C.","Clouds",10000,2.03,2.03,2.03,1029,96,0.44,279,"2024-12-06 09:00:00","Winter"
"Washington, D.C.","Clouds",10000,1.15,1.15,1.15,1030,95,0.63,245,"2024-12-06 12:00:00","Winter"
"Washington, D.C.","Clouds",10000,0.84,0.84,0.84,1031,96,0.99,249,"2024-12-06 15:00:00","Winter"
